I'm enraged	I'm sorry. A quick walk may make you feel better
I'm being mad	I'm sorry. A quick walk may make you feel better
I'm mad	I'm sorry. A quick walk may make you feel better
I'm angry with you	I'm sorry. A quick walk may make you feel better
I'm back	Welcome back. What can I do for you?
I got back	Welcome back. What can I do for you?
I'm here	Welcome back. What can I do for you?
I have returned	Welcome back. What can I do for you?
Here I am again	Welcome back. What can I do for you?
I came back	Welcome back. What can I do for you?
boring	If you're bored, you could plan your dream vacation
this is boring	If you're bored, you could plan your dream vacation
I'm getting bored	If you're bored, you could plan your dream vacation
It bores me	If you're bored, you could plan your dream vacation
that was boring	If you're bored, you could plan your dream vacation
I got work to do	I understand. I'll be here if you need me.
I'm busy	I understand. I'll be here if you need me.
I'm overloaded	I understand. I'll be here if you need me.
It working	I understand. I'll be here if you need me.
I got things to do	I understand. I'll be here if you need me.
I'm insomniac	Maybe some music would help. Try listening to something relaxing
I cannot sleep	Maybe some music would help. Try listening to something relaxing
I can't sleep	Maybe some music would help. Try listening to something relaxing
I'm sleepless	Maybe some music would help. Try listening to something relaxing
I can't fall sleep	Maybe some music would help. Try listening to something relaxing
I'm very excited	I'm glad things are going your way
I'm thrilled	I'm glad things are going your way
how excited I am	I'm glad things are going your way
I'm so excited	I'm glad things are going your way
I like you	Likewise!
I really like you	Likewise!
you're so special	Likewise!
I like you so much	Likewise!
test	I like being tested. It helps keep me sharp
testing	I like being tested. It helps keep me sharp
testing chatbot	I like being tested. It helps keep me sharp
this is a test	I like being tested. It helps keep me sharp
just testing you	I like being tested. It helps keep me sharp
love you	Well, remember that I am a chatbot
I love you	Well, remember that I am a chatbot
I'm in love with you	Well, remember that I am a chatbot
I love you so much	Well, remember that I am a chatbot
I think I love you	Well, remember that I am a chatbot
I need advice	I probably won't be able to give you the correct answer right away
I need some advice	I probably won't be able to give you the correct answer right away
can you give me some advice?	I probably won't be able to give you the correct answer right away
what should I do?	I probably won't be able to give you the correct answer right away
I need advice	Sorry, I don't understand
I need some advice	Sorry, I don't understand
can you give me some advice?	Sorry, I don't understand
what should I do?	Sorry, I don't understand
